States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Andhra Pradesh,,Total Rabi Pulses,1970-1971,576.00,206.00,358
Assam,,Total Rabi Pulses,1970-1971,81.00,29.00,363
Bihar,,Total Rabi Pulses,1970-1971,1217.00,724.00,595
Delhi,,Total Rabi Pulses,1970-1971,13.00,7.00,538
Gujarat,,Total Rabi Pulses,1970-1971,102.00,64.00,627
Haryana,,Total Rabi Pulses,1970-1971,1086.00,790.00,727
Himachal Pradesh,,Total Rabi Pulses,1970-1971,30.00,18.00,591
Jammu & Kashmir,,Total Rabi Pulses,1970-1971,5.00,3.00,600
Karnataka,,Total Rabi Pulses,1970-1971,237.00,76.00,319
Kerala,,Total Rabi Pulses,1970-1971,20.00,8.00,399
Madhya Pradesh,,Total Rabi Pulses,1970-1971,2858.00,1341.00,469
Maharashtra,,Total Rabi Pulses,1970-1971,599.00,151.00,253
Meghalaya,,Total Rabi Pulses,1970-1971,1.00,1.00,1000
Odisha,,Total Rabi Pulses,1970-1971,673.00,363.00,539
Punjab,,Total Rabi Pulses,1970-1971,375.00,291.00,776
Rajasthan,,Total Rabi Pulses,1970-1971,1633.00,1210.00,741
Tamil Nadu,,Total Rabi Pulses,1970-1971,4.00,2.00,500
Tripura,,Total Rabi Pulses,1970-1971,2.00,1.00,500
Uttar Pradesh,,Total Rabi Pulses,1970-1971,2969.00,2333.00,786
West Bengal,,Total Rabi Pulses,1970-1971,589.00,322.00,548
India,,Total Rabi Pulses,1970-1971,13070.00,7939.00,607
Andhra Pradesh,,Total Rabi Pulses,1971-1972,557.00,187.00,337
Assam,,Total Rabi Pulses,1971-1972,82.00,28.00,340
Bihar,,Total Rabi Pulses,1971-1972,1201.00,754.00,628
Delhi,,Total Rabi Pulses,1971-1972,12.00,8.00,667
Gujarat,,Total Rabi Pulses,1971-1972,104.00,59.00,573
Haryana,,Total Rabi Pulses,1971-1972,1170.00,666.00,570
Himachal Pradesh,,Total Rabi Pulses,1971-1972,26.00,14.00,551
Jammu & Kashmir,,Total Rabi Pulses,1971-1972,6.00,3.00,500
Karnataka,,Total Rabi Pulses,1971-1972,298.00,85.00,286
Kerala,,Total Rabi Pulses,1971-1972,20.00,8.00,389
Madhya Pradesh,,Total Rabi Pulses,1971-1972,2590.00,1678.00,569
Maharashtra,,Total Rabi Pulses,1971-1972,670.00,189.00,282
Meghalaya,,Total Rabi Pulses,1971-1972,1.00,1.00,1000
Mizoram,,Total Rabi Pulses,1971-1972,1.00,-,-
Odisha,,Total Rabi Pulses,1971-1972,680.00,304.00,447
Punjab,,Total Rabi Pulses,1971-1972,354.00,289.00,818
Rajasthan,,Total Rabi Pulses,1971-1972,1663.00,903.00,543
Tamil Nadu,,Total Rabi Pulses,1971-1972,4.00,2.00,500
Tripura,,Total Rabi Pulses,1971-1972,2.00,1.00,500
Uttar Pradesh,,Total Rabi Pulses,1971-1972,2891.00,2286.00,791
West Bengal,,Total Rabi Pulses,1971-1972,543.00,289.00,532
India,,Total Rabi Pulses,1971-1972,13235.00,7757.00,586
Andhra Pradesh,,Total Rabi Pulses,1972-1973,576.00,188.00,326
Assam,,Total Rabi Pulses,1972-1973,93.00,45.00,478
Bihar,,Total Rabi Pulses,1972-1973,1087.00,444.00,408
Delhi,,Total Rabi Pulses,1972-1973,8.00,4.00,500
Gujarat,,Total Rabi Pulses,1972-1973,75.00,42.00,556
Haryana,,Total Rabi Pulses,1972-1973,1033.00,574.00,556
Himachal Pradesh,,Total Rabi Pulses,1972-1973,29.00,15.00,509
Jammu & Kashmir,,Total Rabi Pulses,1972-1973,7.00,5.00,714
Karnataka,,Total Rabi Pulses,1972-1973,258.00,36.00,142
Kerala,,Total Rabi Pulses,1972-1973,20.00,8.00,414
Madhya Pradesh,,Total Rabi Pulses,1972-1973,2895.00,1557.00,538
Maharashtra,,Total Rabi Pulses,1972-1973,414.00,75.00,182
Meghalaya,,Total Rabi Pulses,1972-1973,2.00,1.00,500
Nagaland,,Total Rabi Pulses,1972-1973,1.00,1.00,1000
Odisha,,Total Rabi Pulses,1972-1973,777.00,406.00,523
Punjab,,Total Rabi Pulses,1972-1973,340.00,275.00,809
Rajasthan,,Total Rabi Pulses,1972-1973,1225.00,823.00,672
Tamil Nadu,,Total Rabi Pulses,1972-1973,8.00,5.00,625
Tripura,,Total Rabi Pulses,1972-1973,2.00,1.00,500
Uttar Pradesh,,Total Rabi Pulses,1972-1973,2773.00,1990.00,718
West Bengal,,Total Rabi Pulses,1972-1973,480.00,235.00,490
India,,Total Rabi Pulses,1972-1973,12103.00,6730.00,556
Andhra Pradesh,,Total Rabi Pulses,1973-1974,599.00,202.00,337
Assam,,Total Rabi Pulses,1973-1974,90.00,41.00,456
Bihar,,Total Rabi Pulses,1973-1974,1167.00,500.00,428
Delhi,,Total Rabi Pulses,1973-1974,10.00,5.00,500
Gujarat,,Total Rabi Pulses,1973-1974,104.00,74.00,712
Haryana,,Total Rabi Pulses,1973-1974,1041.00,467.00,449
Himachal Pradesh,,Total Rabi Pulses,1973-1974,33.00,27.00,818
Jammu & Kashmir,,Total Rabi Pulses,1973-1974,8.00,7.00,875
Karnataka,,Total Rabi Pulses,1973-1974,326.00,97.00,298
Kerala,,Total Rabi Pulses,1973-1974,20.00,8.00,400
Madhya Pradesh,,Total Rabi Pulses,1973-1974,3263.00,1536.00,471
Maharashtra,,Total Rabi Pulses,1973-1974,622.00,204.00,328
Manipur,,Total Rabi Pulses,1973-1974,8.00,3.00,375
Meghalaya,,Total Rabi Pulses,1973-1974,1.00,1.00,1000
Nagaland,,Total Rabi Pulses,1973-1974,2.00,1.00,500
Odisha,,Total Rabi Pulses,1973-1974,791.00,394.00,498
Punjab,,Total Rabi Pulses,1973-1974,374.00,324.00,866
Rajasthan,,Total Rabi Pulses,1973-1974,1534.00,731.00,477
Tamil Nadu,,Total Rabi Pulses,1973-1974,11.00,7.00,636
Tripura,,Total Rabi Pulses,1973-1974,2.00,1.00,500
Uttar Pradesh,,Total Rabi Pulses,1973-1974,2764.00,1472.00,533
West Bengal,,Total Rabi Pulses,1973-1974,564.00,285.00,505
India,,Total Rabi Pulses,1973-1974,13335.00,6389.00,479
Andaman & Nicobar Islands,,Total Rabi Pulses,1974-1975,1.00,-,-
Andhra Pradesh,,Total Rabi Pulses,1974-1975,597.00,224.00,376
Assam,,Total Rabi Pulses,1974-1975,92.00,36.00,393
Bihar,,Total Rabi Pulses,1974-1975,1176.00,683.00,581
Dadra & Nagar Haveli  ,,Total Rabi Pulses,1974-1975,1.00,-,-
Delhi,,Total Rabi Pulses,1974-1975,4.00,2.00,500
Gujarat,,Total Rabi Pulses,1974-1975,73.00,31.00,426
Haryana,,Total Rabi Pulses,1974-1975,744.00,359.00,482
Himachal Pradesh,,Total Rabi Pulses,1974-1975,31.00,21.00,677
Jammu & Kashmir,,Total Rabi Pulses,1974-1975,6.00,5.00,833
Karnataka,,Total Rabi Pulses,1974-1975,319.00,88.00,277
Kerala,,Total Rabi Pulses,1974-1975,20.00,8.00,421
Madhya Pradesh,,Total Rabi Pulses,1974-1975,2869.00,1551.00,540
Maharashtra,,Total Rabi Pulses,1974-1975,643.00,214.00,333
Manipur,,Total Rabi Pulses,1974-1975,7.00,3.00,429
Meghalaya,,Total Rabi Pulses,1974-1975,1.00,1.00,1000
Mizoram,,Total Rabi Pulses,1974-1975,-,2.00,-
Nagaland,,Total Rabi Pulses,1974-1975,2.00,1.00,500
Odisha,,Total Rabi Pulses,1974-1975,842.00,357.00,424
Puducherry,,Total Rabi Pulses,1974-1975,4.00,-,-
Punjab,,Total Rabi Pulses,1974-1975,290.00,227.00,783
Rajasthan,,Total Rabi Pulses,1974-1975,1452.00,817.00,563
Tamil Nadu,,Total Rabi Pulses,1974-1975,13.00,5.00,385
Tripura,,Total Rabi Pulses,1974-1975,2.00,1.00,500
Uttar Pradesh,,Total Rabi Pulses,1974-1975,2436.00,1500.00,616
West Bengal,,Total Rabi Pulses,1974-1975,584.00,311.00,532
India,,Total Rabi Pulses,1974-1975,12209.00,6449.00,528
Andaman & Nicobar Islands,,Total Rabi Pulses,1975-1976,1.00,1.00,1000
Andhra Pradesh,,Total Rabi Pulses,1975-1976,599.00,227.00,379
Assam,,Total Rabi Pulses,1975-1976,85.00,32.00,373
Bihar,,Total Rabi Pulses,1975-1976,1152.00,651.00,565
Dadra & Nagar Haveli  ,,Total Rabi Pulses,1975-1976,1.00,-,-
Delhi,,Total Rabi Pulses,1975-1976,7.00,6.00,-
Gujarat,,Total Rabi Pulses,1975-1976,105.00,66.00,630
Haryana,,Total Rabi Pulses,1975-1976,1148.00,926.00,807
Himachal Pradesh,,Total Rabi Pulses,1975-1976,34.00,18.00,533
Jammu & Kashmir,,Total Rabi Pulses,1975-1976,7.00,4.00,571
Karnataka,,Total Rabi Pulses,1975-1976,332.00,109.00,329
Kerala,,Total Rabi Pulses,1975-1976,22.00,9.00,409
Madhya Pradesh,,Total Rabi Pulses,1975-1976,3235.00,1780.00,490
Maharashtra,,Total Rabi Pulses,1975-1976,689.00,252.00,365
Manipur,,Total Rabi Pulses,1975-1976,6.00,2.00,333
Meghalaya,,Total Rabi Pulses,1975-1976,1.00,1.00,1000
Nagaland,,Total Rabi Pulses,1975-1976,2.00,1.00,500
Odisha,,Total Rabi Pulses,1975-1976,930.00,433.00,465
Puducherry,,Total Rabi Pulses,1975-1976,5.00,-,-
Punjab,,Total Rabi Pulses,1975-1976,400.00,385.00,961
Rajasthan,,Total Rabi Pulses,1975-1976,1984.00,1514.00,763
Tamil Nadu,,Total Rabi Pulses,1975-1976,8.00,4.00,500
Tripura,,Total Rabi Pulses,1975-1976,2.00,1.00,500
Uttar Pradesh,,Total Rabi Pulses,1975-1976,2458.00,1832.00,745
West Bengal,,Total Rabi Pulses,1975-1976,639.00,348.00,545
India,,Total Rabi Pulses,1975-1976,13853.00,8603.00,621
Andaman & Nicobar Islands,,Total Rabi Pulses,1976-1977,1.60,0.60,375
Andhra Pradesh,,Total Rabi Pulses,1976-1977,503.60,163.10,324
Assam,,Total Rabi Pulses,1976-1977,88.30,33.50,379
Bihar,,Total Rabi Pulses,1976-1977,1087.40,551.60,507
Dadra & Nagar Haveli  ,,Total Rabi Pulses,1976-1977,0.60,0.30,500
Delhi,,Total Rabi Pulses,1976-1977,6.80,4.80,706
Gujarat,,Total Rabi Pulses,1976-1977,115.50,66.40,575
Haryana,,Total Rabi Pulses,1976-1977,1064.80,839.80,789
Himachal Pradesh,,Total Rabi Pulses,1976-1977,28.80,22.50,781
Jammu & Kashmir,,Total Rabi Pulses,1976-1977,6.80,4.40,647
Karnataka,,Total Rabi Pulses,1976-1977,304.80,69.00,226
Kerala,,Total Rabi Pulses,1976-1977,25.40,12.10,476
Madhya Pradesh,,Total Rabi Pulses,1976-1977,3164.80,1344.00,425
Maharashtra,,Total Rabi Pulses,1976-1977,661.50,196.20,297
Meghalaya,,Total Rabi Pulses,1976-1977,1.30,0.80,615
Mizoram,,Total Rabi Pulses,1976-1977,0.40,0.10,250
Nagaland,,Total Rabi Pulses,1976-1977,2.40,1.60,667
Odisha,,Total Rabi Pulses,1976-1977,779.60,338.80,435
Puducherry,,Total Rabi Pulses,1976-1977,4.20,2.20,524
Punjab,,Total Rabi Pulses,1976-1977,365.70,319.10,873
Rajasthan,,Total Rabi Pulses,1976-1977,1807.50,1381.30,764
Tamil Nadu,,Total Rabi Pulses,1976-1977,12.10,7.00,579
Tripura,,Total Rabi Pulses,1976-1977,3.00,1.50,500
Uttar Pradesh,,Total Rabi Pulses,1976-1977,2359.70,1831.00,776
West Bengal,,Total Rabi Pulses,1976-1977,517.50,275.20,532
India,,Total Rabi Pulses,1976-1977,12914.20,7466.90,578
Andaman & Nicobar Islands,,Total Rabi Pulses,1977-1978,1.60,0.60,375
Andhra Pradesh,,Total Rabi Pulses,1977-1978,480.10,146.00,304
Assam,,Total Rabi Pulses,1977-1978,94.60,34.20,362
Bihar,,Total Rabi Pulses,1977-1978,1099.80,493.40,449
Dadra & Nagar Haveli  ,,Total Rabi Pulses,1977-1978,0.70,0.40,571
Delhi,,Total Rabi Pulses,1977-1978,5.30,3.60,679
Gujarat,,Total Rabi Pulses,1977-1978,101.70,53.90,530
Haryana,,Total Rabi Pulses,1977-1978,1188.80,983.70,827
Himachal Pradesh,,Total Rabi Pulses,1977-1978,37.70,25.10,666
Jammu & Kashmir,,Total Rabi Pulses,1977-1978,8.70,6.10,701
Karnataka,,Total Rabi Pulses,1977-1978,324.10,81.00,250
Kerala,,Total Rabi Pulses,1977-1978,25.40,11.90,469
Madhya Pradesh,,Total Rabi Pulses,1977-1978,3047.30,1356.60,445
Maharashtra,,Total Rabi Pulses,1977-1978,709.10,198.30,280
Meghalaya,,Total Rabi Pulses,1977-1978,1.40,0.90,643
Mizoram,,Total Rabi Pulses,1977-1978,0.40,0.10,250
Nagaland,,Total Rabi Pulses,1977-1978,4.60,2.30,500
Odisha,,Total Rabi Pulses,1977-1978,1161.70,575.60,495
Puducherry,,Total Rabi Pulses,1977-1978,5.60,3.20,571
Punjab,,Total Rabi Pulses,1977-1978,374.50,331.80,886
Rajasthan,,Total Rabi Pulses,1977-1978,1898.50,1511.00,796
Tamil Nadu,,Total Rabi Pulses,1977-1978,5.80,3.40,586
Tripura,,Total Rabi Pulses,1977-1978,3.10,0.90,290
Uttar Pradesh,,Total Rabi Pulses,1977-1978,2297.40,1608.50,700
West Bengal,,Total Rabi Pulses,1977-1978,510.00,293.20,575
India,,Total Rabi Pulses,1977-1978,13388.10,7725.80,577
Andaman & Nicobar Islands,,Total Rabi Pulses,1978-1979,0.80,0.30,375
Andhra Pradesh,,Total Rabi Pulses,1978-1979,566.10,215.10,380
Assam,,Total Rabi Pulses,1978-1979,98.10,37.90,386
Bihar,,Total Rabi Pulses,1978-1979,1097.40,534.00,487
Dadra & Nagar Haveli  ,,Total Rabi Pulses,1978-1979,0.60,0.30,500
Delhi,,Total Rabi Pulses,1978-1979,6.70,4.00,597
Gujarat,,Total Rabi Pulses,1978-1979,94.30,71.40,757
Haryana,,Total Rabi Pulses,1978-1979,1110.00,1065.50,960
Himachal Pradesh,,Total Rabi Pulses,1978-1979,50.70,32.10,633
Jammu & Kashmir,,Total Rabi Pulses,1978-1979,8.20,4.80,585
Karnataka,,Total Rabi Pulses,1978-1979,342.90,94.20,275
Kerala,,Total Rabi Pulses,1978-1979,24.40,11.60,475
Madhya Pradesh,,Total Rabi Pulses,1978-1979,3039.10,1467.80,483
Maharashtra,,Total Rabi Pulses,1978-1979,698.80,214.30,307
Meghalaya,,Total Rabi Pulses,1978-1979,1.40,1.40,1000
Mizoram,,Total Rabi Pulses,1978-1979,0.30,0.10,333
Nagaland,,Total Rabi Pulses,1978-1979,4.60,2.30,500
Odisha,,Total Rabi Pulses,1978-1979,1317.80,668.10,507
Puducherry,,Total Rabi Pulses,1978-1979,5.90,3.20,542
Punjab,,Total Rabi Pulses,1978-1979,375.50,295.50,787
Rajasthan,,Total Rabi Pulses,1978-1979,1795.00,1618.30,902
Tamil Nadu,,Total Rabi Pulses,1978-1979,9.50,5.60,589
Tripura,,Total Rabi Pulses,1978-1979,2.30,0.90,391
Uttar Pradesh,,Total Rabi Pulses,1978-1979,2319.40,1642.50,708
West Bengal,,Total Rabi Pulses,1978-1979,516.60,240.00,465
India,,Total Rabi Pulses,1978-1979,13486.60,8231.30,610
Andaman & Nicobar Islands,,Total Rabi Pulses,1979-1980,0.60,0.30,500
Andhra Pradesh,,Total Rabi Pulses,1979-1980,564.70,181.20,321
Assam,,Total Rabi Pulses,1979-1980,96.60,36.80,381
Bihar,,Total Rabi Pulses,1979-1980,920.10,465.22,506
Dadra & Nagar Haveli  ,,Total Rabi Pulses,1979-1980,0.30,0.20,667
Delhi,,Total Rabi Pulses,1979-1980,2.00,0.80,400
Gujarat,,Total Rabi Pulses,1979-1980,94.50,45.70,484
Haryana,,Total Rabi Pulses,1979-1980,580.20,331.00,570
Himachal Pradesh,,Total Rabi Pulses,1979-1980,31.30,14.50,463
Jammu & Kashmir,,Total Rabi Pulses,1979-1980,6.30,4.50,714
Karnataka,,Total Rabi Pulses,1979-1980,321.00,135.00,421
Kerala,,Total Rabi Pulses,1979-1980,23.50,11.00,468
Madhya Pradesh,,Total Rabi Pulses,1979-1980,3094.80,1103.50,357
Maharashtra,,Total Rabi Pulses,1979-1980,608.80,223.70,367
Meghalaya,,Total Rabi Pulses,1979-1980,1.40,1.00,714
Mizoram,,Total Rabi Pulses,1979-1980,0.30,0.10,333
Nagaland,,Total Rabi Pulses,1979-1980,1.00,0.50,500
Odisha,,Total Rabi Pulses,1979-1980,1380.80,475.80,345
Puducherry,,Total Rabi Pulses,1979-1980,6.10,3.40,557
Punjab,,Total Rabi Pulses,1979-1980,260.50,173.50,666
Rajasthan,,Total Rabi Pulses,1979-1980,1409.30,774.20,549
Tamil Nadu,,Total Rabi Pulses,1979-1980,6.80,4.00,588
Tripura,,Total Rabi Pulses,1979-1980,2.20,1.00,455
Uttar Pradesh,,Total Rabi Pulses,1979-1980,2176.50,980.80,451
West Bengal,,Total Rabi Pulses,1979-1980,498.70,253.90,509
India,,Total Rabi Pulses,1979-1980,12088.50,5221.72,432
Andaman & Nicobar Islands,,Total Rabi Pulses,1980-1981,0.80,0.40,500
Andhra Pradesh,,Total Rabi Pulses,1980-1981,533.30,202.60,380
Assam,,Total Rabi Pulses,1980-1981,106.50,42.30,397
Bihar,,Total Rabi Pulses,1980-1981,1024.20,633.60,619
Dadra & Nagar Haveli  ,,Total Rabi Pulses,1980-1981,0.60,0.30,500
Delhi,,Total Rabi Pulses,1980-1981,3.30,1.90,576
Gujarat,,Total Rabi Pulses,1980-1981,92.90,59.80,644
Haryana,,Total Rabi Pulses,1980-1981,776.80,483.30,622
Himachal Pradesh,,Total Rabi Pulses,1980-1981,23.60,7.70,326
Jammu & Kashmir,,Total Rabi Pulses,1980-1981,5.50,3.40,618
Karnataka,,Total Rabi Pulses,1980-1981,330.20,106.90,324
Kerala,,Total Rabi Pulses,1980-1981,21.00,14.10,671
Madhya Pradesh,,Total Rabi Pulses,1980-1981,2984.90,1445.30,484
Maharashtra,,Total Rabi Pulses,1980-1981,583.80,180.80,310
Meghalaya,,Total Rabi Pulses,1980-1981,1.50,1.00,667
Mizoram,,Total Rabi Pulses,1980-1981,0.30,0.10,333
Nagaland,,Total Rabi Pulses,1980-1981,1.00,0.50,500
Odisha,,Total Rabi Pulses,1980-1981,1408.10,730.90,519
Puducherry,,Total Rabi Pulses,1980-1981,6.30,3.10,492
Punjab,,Total Rabi Pulses,1980-1981,281.70,160.90,571
Rajasthan,,Total Rabi Pulses,1980-1981,1254.20,876.00,698
Tamil Nadu,,Total Rabi Pulses,1980-1981,11.10,6.60,595
Tripura,,Total Rabi Pulses,1980-1981,2.80,1.20,429
Uttar Pradesh,,Total Rabi Pulses,1980-1981,2118.10,1707.70,806
West Bengal,,Total Rabi Pulses,1980-1981,462.10,195.50,423
India,,Total Rabi Pulses,1980-1981,12034.80,6866.00,571
Andaman & Nicobar Islands,,Total Rabi Pulses,1981-1982,0.70,0.30,429
Andhra Pradesh,,Total Rabi Pulses,1981-1982,526.80,191.10,363
Assam,,Total Rabi Pulses,1981-1982,109.90,47.00,428
Bihar,,Total Rabi Pulses,1981-1982,933.30,567.60,608
Dadra & Nagar Haveli  ,,Total Rabi Pulses,1981-1982,0.60,0.30,500
Delhi,,Total Rabi Pulses,1981-1982,2.20,1.40,636
Gujarat,,Total Rabi Pulses,1981-1982,115.20,82.80,719
Haryana,,Total Rabi Pulses,1981-1982,1078.40,326.00,302
Himachal Pradesh,,Total Rabi Pulses,1981-1982,19.90,4.70,236
Jammu & Kashmir,,Total Rabi Pulses,1981-1982,5.80,3.30,569
Karnataka,,Total Rabi Pulses,1981-1982,330.90,131.80,398
Kerala,,Total Rabi Pulses,1981-1982,20.00,13.10,655
Madhya Pradesh,,Total Rabi Pulses,1981-1982,3288.10,1701.00,517
Maharashtra,,Total Rabi Pulses,1981-1982,690.10,225.30,326
Meghalaya,,Total Rabi Pulses,1981-1982,1.50,1.00,667
Mizoram,,Total Rabi Pulses,1981-1982,0.30,0.00,0
Nagaland,,Total Rabi Pulses,1981-1982,0.60,0.30,500
Odisha,,Total Rabi Pulses,1981-1982,1400.40,732.30,523
Puducherry,,Total Rabi Pulses,1981-1982,3.50,2.00,571
Punjab,,Total Rabi Pulses,1981-1982,265.90,125.10,470
Rajasthan,,Total Rabi Pulses,1981-1982,1967.40,1282.60,652
Sikkim,,Total Rabi Pulses,1981-1982,1.60,1.70,1063
Tamil Nadu,,Total Rabi Pulses,1981-1982,11.50,6.90,600
Tripura,,Total Rabi Pulses,1981-1982,3.10,0.90,290
Uttar Pradesh,,Total Rabi Pulses,1981-1982,2278.60,1555.50,683
West Bengal,,Total Rabi Pulses,1981-1982,343.30,171.80,500
India,,Total Rabi Pulses,1981-1982,13506.60,7221.40,535
Andaman & Nicobar Islands,,Total Rabi Pulses,1982-1983,0.50,0.30,600
Andhra Pradesh,,Total Rabi Pulses,1982-1983,545.80,249.30,457
Assam,,Total Rabi Pulses,1982-1983,118.30,47.00,397
Bihar,,Total Rabi Pulses,1982-1983,886.00,517.10,584
